epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.82545,1.7086,5.90095,2.02807,0.61197,0.4375,0.34543,0.19869,1.43852,6.69556,2.15723,5.56e-06,5.56e-06,5.56e-06
2,8.72571,1.533,5.34733,1.90832,0.61777,0.375,0.34233,0.27165,1.46508,6.86666,2.19588,1.58543e-05,1.58543e-05,1.58543e-05
3,10.6047,1.85334,5.48715,2.12592,0.05773,0.5,0.34704,0.20037,1.43269,6.53571,2.19716,2.50478e-05,2.50478e-05,2.50478e-05
4,12.3934,1.83852,4.0134,1.94872,0.08943,0.5,0.38828,0.21818,1.28359,6.17908,2.11088,3.31404e-05,3.31404e-05,3.31404e-05
5,13.8871,1.50245,4.59175,1.84299,0.09848,0.5,0.41625,0.23905,1.2278,6.57648,2.08289,4.01321e-05,4.01321e-05,4.01321e-05
6,15.2043,1.84106,3.19154,1.95295,0.11607,0.4375,0.37443,0.227,1.17072,8.01546,2.02205,4.60229e-05,4.60229e-05,4.60229e-05
7,16.5377,1.72277,3.09118,2.12595,0.15,0.4375,0.37675,0.20434,1.2218,10.2413,2.04252,5.08128e-05,5.08128e-05,5.08128e-05
8,17.9287,1.52047,3.00723,1.89877,0.125,0.25,0.24875,0.14925,1.1344,13.2296,1.94471,5.45019e-05,5.45019e-05,5.45019e-05
9,19.2384,1.75604,2.72297,2.00025,0.25,0.25,0.24875,0.14925,1.08307,13.9597,1.89355,5.70901e-05,5.70901e-05,5.70901e-05
10,20.5592,1.45646,2.90697,1.84223,0.25,0.25,0.24875,0.12437,1.06477,13.3373,1.85277,5.85774e-05,5.85774e-05,5.85774e-05
11,22.7699,1.4223,3.42933,1.68742,0.25,0.25,0.24875,0.12437,1.01447,12.4493,1.79273,5.89638e-05,5.89638e-05,5.89638e-05
12,24.9272,1.7046,4.01663,2.1294,0.25,0.25,0.24875,0.12437,0.96394,11.4748,1.7743,5.82493e-05,5.82493e-05,5.82493e-05
13,27.0129,1.76045,3.02123,2.02673,0.5,0.75,0.74625,0.50994,0.99821,10.5451,1.77756,5.6434e-05,5.6434e-05,5.6434e-05
14,29.066,1.56843,2.9261,1.99152,0.4375,0.75,0.58042,0.38971,1.08212,9.5686,1.82738,5.35178e-05,5.35178e-05,5.35178e-05
15,30.4095,1.51909,3.18251,1.78983,0.36458,0.75,0.62187,0.33996,1.12064,8.53813,1.86688,4.95007e-05,4.95007e-05,4.95007e-05
16,31.6916,1.43414,3.62921,1.87823,0.33036,0.75,0.74625,0.41458,1.05343,7.93864,1.86492,4.43827e-05,4.43827e-05,4.43827e-05
17,32.9948,1.65987,2.98283,1.91763,0.20139,0.75,0.62187,0.37313,1.0772,7.50374,1.87173,3.81638e-05,3.81638e-05,3.81638e-05
18,34.2385,1.49576,2.60179,1.70523,0.1447,0.75,0.45604,0.28192,1.09604,6.89195,1.89845,3.08441e-05,3.08441e-05,3.08441e-05
19,35.4794,1.51686,2.8214,1.92544,0.1225,0.75,0.43531,0.27363,1.12541,6.54706,1.91262,2.24235e-05,2.24235e-05,2.24235e-05
20,36.7906,1.30332,2.99221,1.81412,0.12143,0.75,0.55969,0.37312,1.14767,6.29565,1.94735,1.2902e-05,1.2902e-05,1.2902e-05
